id,title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies
842544,Transfusion,1/5/2023,['Crime'],English,6.4,163,236.871,0,"['Deeper Water Films', 'Madman Entertainment', 'Altitude Media']"
846433,The Enforcer,9/22/2022,"['Action', 'Crime', 'Drama', 'Thriller']",English,7.4,302,189.543,1261569,"['Born to Burn Films', 'Millenium Media Group', 'Millennium Films']"
993621,The Stranger in Our Bed,8/26/2022,"['Thriller', 'Mystery']",English,6.2,27,184.122,90,[]
937278,A Man Called Otto,12/28/2022,"['Comedy', 'Drama']",English,7.9,1129,194.447,50000000,"['Playtone', 'SF Studios', '2DUX²', 'Artistic Films', 'Columbia Pictures']"
384018,Fast & Furious Presents: Hobbs & Shaw,8/1/2019,"['Action', 'Adventure', 'Comedy']",English,6.9,6308,200.003,200000000,"['Chris Morgan Productions', 'Seven Bucks Productions', 'Universal Pictures']"
947938,Dolphin Boy,4/7/2022,"['Animation', 'Adventure', 'Fantasy', 'Comedy']",Russian,6.6,54,165.773,0,['SkyFrame']
931954,Venus,12/2/2022,"['Drama', 'Horror', 'Thriller']",Spanish,5.6,87,183.23,0,['Pokeepsie Films']
299536,Avengers: Infinity War,4/25/2018,"['Adventure', 'Action', 'Science Fiction']",English,8.3,26811,205.036,300000000,['Marvel Studios']
49046,All Quiet on the Western Front,10/7/2022,"['Drama', 'War', 'History']",German,7.8,2629,167.289,20000000,"['RocketScience', 'Amusement Park Films']"
325358,Superfast!,3/5/2015,"['Comedy', 'Action']",English,5,337,196.749,20000000,"['The Safran Company', '3 in the Box', 'Ketchup Entertainment']"
555604,Guillermo del Toro's Pinocchio,11/9/2022,"['Animation', 'Fantasy', 'Drama', 'Music']",English,8.2,2239,178.939,35000000,"['The Jim Henson Company', 'ShadowMachine', 'Double Dare You Productions']"
575322,Project Gemini,1/6/2022,"['Science Fiction', 'Horror']",English,5.8,321,181.907,0,['KD Studios']
667538,Transformers: Rise of the Beasts,6/7/2023,"['Action', 'Adventure', 'Science Fiction']",English,0,0,222.43,200000000,"['Skydance Media', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'Hasbro', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production']"
842942,Bandit,9/23/2022,"['Crime', 'Drama', 'Thriller']",English,6.2,157,187.649,0,"['Goldrush Entertainment', 'Yale Productions', 'Lucky 13 Productions']"
