id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
34065,Pokémon: Destiny Deoxys,7/22/2004,"['Family', 'Adventure', 'Animation', 'Fantasy']",Japanese,6.6,227,14.87,"['Pikachu Project', 'The Pokémon Company', 'Shogakukan', 'TV Tokyo', 'Media Factory', 'Tomy', 'East Japan Marketing & Communications', 'OLM', 'Shogakukan Production']",good,12.82125828
499028,Be with You,3/14/2018,"['Romance', 'Drama', 'Fantasy']",Korean,8.3,172,17.378,"['Lotte Entertainment', 'Movierock', 'Studio By The Library', 'Green Tree Pictures']",good,12.82125828
9522,Wedding Crashers,7/13/2005,"['Comedy', 'Romance']",English,6.5,3948,19.37,"['Avery Pix', 'New Line Cinema', 'Tapestry Films']",good,17.50439001
748501,Hot Hair Salon,9/4/2020,"['Drama', 'Romance']",Korean,5.4,7,18.358,Company X,bad,12.82125828
369299,Don't Blame the Kid,5/13/2016,"['Comedy', 'Romance']",Spanish,7.7,564,16.874,"['Adicta Films', 'Alebrije Producciones']",good,12.82125828
95993,Demon Slayer,2/20/2003,['Horror'],English,7.8,13,20.509,['1st Chance Films'],good,13.81551056
8409,A Man Apart,4/4/2003,"['Action', 'Drama']",English,6.1,776,15.118,"['Newman/Tooley Films', '""DIA"" Productions GmbH & Co. KG', 'Joseph Nittolo Entertainment', 'New Line Cinema']",good,17.3990295
767254,Blaze,8/25/2022,"['Drama', 'Fantasy', 'Crime']",English,5.1,15,15.391,"['Screen Australia', 'Screen NSW', 'Fin Design & Effects', 'Spectrum Films', 'Causeway Films', 'WeirAnderson.com']",bad,12.82125828
7459,Speed Racer,5/7/2008,"['Family', 'Action', 'Adventure', 'Comedy']",English,6.2,1337,20.619,"['Studio Babelsberg', 'Village Roadshow Pictures', 'Silver Pictures', 'Anarchos Productions', 'Velocity Productions', 'Warner Bros. Pictures']",good,18.6030023
698320,The Mad Hatter,1/29/2021,"['Horror', 'Thriller']",English,5.5,56,17.069,"['Conglomerate Media', 'Swen Studios']",bad,12.82125828
1075529,Boso Dos,2/3/2023,"['Comedy', 'Thriller']",Tagalog,2.5,2,19.63,"['Viva Films', 'Vivamax']",bad,12.82125828
327029,Power Rangers,2/24/2015,"['Action', 'Science Fiction']",English,7.1,206,15.871,['Adi Shankar Production'],good,12.82125828
46581,Immoral Tales,11/1/1973,"['Drama', 'Romance']",French,5.9,195,18.616,['Argos Films'],bad,12.82125828
4638,Hot Fuzz,2/14/2007,"['Crime', 'Action', 'Comedy']",English,7.5,6706,20.267,"['Universal Pictures', 'Big Talk Productions', 'StudioCanal', 'Working Title Films', 'Focus Features', 'Rogue Pictures']",good,16.30041721
450001,Master Z: Ip Man Legacy,12/20/2018,"['Action', 'Crime', 'Drama']",cn,6.2,424,19.875,"['Mandarin Motion Pictures Limited', 'Golden Harvest Company']",good,12.82125828
